md_source_lnp_id,feature,display_name,family,source_mean_shap,source_mean_abs_shap,source_md_value,mapped_rows,descriptor_zscore
LNP782,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,0.011331306094248003,0.011331306094248003,5.835522237623761,2,-0.7030722257999406
LNP782,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,0.01697630861527879,0.01697630861527879,4.58868065346535,2,-0.9947262760964592
LNP782,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,0.015561811145200874,0.015561811145200874,5.811491940594056,2,-0.6945832003474686
LNP782,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,0.007256022426412944,0.007256022426412944,6779.617455445545,2,1.6501572789116823
LNP782,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,0.01030126401811315,0.01030126401811315,0.1673944739306458,2,0.5411417468000116
LNP782,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,0.005820352783026018,0.005820352783026018,0.0095335973251702,2,-0.9615631055075617
LNP782,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,0.0004996328469165382,0.0004996328469165382,7.267792079207922,2,-0.5282821637051197
LNP782,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,-0.007814941309560512,0.007814941309560512,360.0693069306931,2,1.8627665897109427
LNP782,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,-0.00024795616314158474,0.00024795616314158474,0.3484136514851487,2,-0.47119281653062894
LNP782,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,-0.001583601989303743,0.001583601989303743,2.1125544059405943,2,-0.3092742228581774
LNP782,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,-0.004779098433467995,0.004779098433467995,0.2813529881034643,2,1.9204859737078723
LNP782,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,0.010609466257205366,0.010609466257205366,5.603014406033716e-05,2,-0.6639426984698521
LNP854,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,0.026666084292179763,0.026666084292179763,5.001151435643564,2,-1.0265555225397298
LNP854,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,0.03236704769638691,0.03236704769638691,4.826088455445545,2,-0.9100420099117806
LNP854,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,0.03050900968572023,0.03050900968572023,4.93617293069307,2,-1.021599481751704
LNP854,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,-0.003622303215907516,0.003622303215907516,3576.9863465346534,2,-0.23007770331756452
LNP854,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,0.027344550345699006,0.027344550345699006,0.2013188084534357,2,1.32089812581626
