analysis_row_id,lnp_id,md_source_lnp_id,transfection_active,fold,family,family_signed_shap,family_total_abs_shap,number_features
130,193,LNP193,1,0,rna_association,-0.008594766606611605,0.009292780250776055,4
130,193,LNP193,1,0,size_shape,0.06942273976747468,0.07771373739311459,7
130,193,LNP193,1,0,water_penetration,0.013057803038066933,0.013057803038066933,1
131,194,LNP194,1,1,rna_association,-0.025559468835498894,0.030628154393767787,4
131,194,LNP194,1,1,size_shape,0.007822439659651403,0.0685369934890463,7
131,194,LNP194,1,1,water_penetration,0.004928458389852205,0.004928458389852205,1
132,195,LNP195,0,2,rna_association,0.00899810571418955,0.015823994831869338,4
132,195,LNP195,0,2,size_shape,-0.10137687482683763,0.11628246410638528,7
132,195,LNP195,0,2,water_penetration,-0.017819606608669075,0.017819606608669075,1
272,636,LNP858,0,5,rna_association,0.035541225424339004,0.035541225424339004,4
272,636,LNP858,0,5,size_shape,-0.029854937467035367,0.034594061045684035,7
272,636,LNP858,0,5,water_penetration,-0.0033928384833557235,0.0033928384833557235,1
288,687,LNP858,0,5,rna_association,0.03610940724252082,0.03610940724252082,4
288,687,LNP858,0,5,size_shape,-0.03167402504851519,0.036317363186550836,7
288,687,LNP858,0,5,water_penetration,-0.0033928384833557235,0.0033928384833557235,1
293,781,LNP858,1,5,rna_association,0.0349904591408141,0.0349904591408141,4
293,781,LNP858,1,5,size_shape,-0.026199599450167175,0.030119104429024827,7
293,781,LNP858,1,5,water_penetration,-0.0033928384833557235,0.0033928384833557235,1
294,782,LNP782,1,3,rna_association,-0.011982593947451887,0.012768585419458196,4
294,782,LNP782,1,3,size_shape,0.06331532779391523,0.06648253177252272,7
294,782,LNP782,1,3,water_penetration,0.010375076250482352,0.010375076250482352,1
295,783,LNP854,0,4,rna_association,-0.002749604906071292,0.0059885917390071425,4
295,783,LNP854,0,4,size_shape,0.122213550157828,0.12980220611638765,7
295,783,LNP854,0,4,water_penetration,0.016923840415582144,0.016923840415582144,1
357,875,LNP782,1,3,rna_association,-0.012702132171055218,0.013914672086715062,4
357,875,LNP782,1,3,size_shape,0.06801159839203684,0.07117880237064433,7
357,875,LNP782,1,3,water_penetration,0.010843856263928378,0.010843856263928378,1
366,911,LNP854,1,4,rna_association,-0.0026253412238265474,0.004678727700018139,4
366,911,LNP854,1,4,size_shape,0.12796538172352218,0.13486593862859259,7
366,911,LNP854,1,4,water_penetration,0.01753233955724758,0.01753233955724758,1
367,922,LNP858,0,5,rna_association,0.0351319292607325,0.0351319292607325,4
367,922,LNP858,0,5,size_shape,-0.030707427888491304,0.035350766026526946,7
367,922,LNP858,0,5,water_penetration,-0.0029166480071652475,0.0029166480071652475,1
368,923,LNP858,0,5,rna_association,0.0351319292607325,0.0351319292607325,4
368,923,LNP858,0,5,size_shape,-0.030707427888491304,0.035350766026526946,7
368,923,LNP858,0,5,water_penetration,-0.0029166480071652475,0.0029166480071652475,1
369,931,LNP858,0,5,rna_association,0.035614588364081254,0.035614588364081254,4
369,931,LNP858,0,5,size_shape,-0.03229902504851519,0.03694236318655083,7
369,931,LNP858,0,5,water_penetration,-0.0029166480071652475,0.0029166480071652475,1
