analysis_row_id,lnp_id,paper_doi,md_source_lnp_id,transfection_active,fold,feature,display_name,family,shap_value,abs_shap_value,md_value
132,195,10.1038/mtna.2014.61,LNP195,0,2,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,-0.001993649605281549,0.001993649605281549,0.049896731822751
132,195,10.1038/mtna.2014.61,LNP195,0,2,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,-0.0009673076923076911,0.0009673076923076911,0.3482841659220696
132,195,10.1038/mtna.2014.61,LNP195,0,2,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,-0.023157334047401005,0.023157334047401005,0.0882616801105028
132,195,10.1038/mtna.2014.61,LNP195,0,2,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,-0.017819606608669075,0.017819606608669075,0.0840286841279432
294,782,10.1002/btm2.10580,LNP782,1,3,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,0.015020982397211823,0.015020982397211823,5.811491940594056
294,782,10.1002/btm2.10580,LNP782,1,3,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,0.01630830216903039,0.01630830216903039,4.58868065346535
294,782,10.1002/btm2.10580,LNP782,1,3,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,0.007188836523745886,0.007188836523745886,6779.617455445545
294,782,10.1002/btm2.10580,LNP782,1,3,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,-0.001583601989303743,0.001583601989303743,2.1125544059405943
294,782,10.1002/btm2.10580,LNP782,1,3,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,0.01099320957102932,0.01099320957102932,5.835522237623761
294,782,10.1002/btm2.10580,LNP782,1,3,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,0.0003929957360031544,0.0003929957360031544,7.267792079207922
294,782,10.1002/btm2.10580,LNP782,1,3,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,-0.00024795616314158474,0.00024795616314158474,0.3484136514851487
294,782,10.1002/btm2.10580,LNP782,1,3,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,-0.007478805720816753,0.007478805720816753,360.0693069306931
294,782,10.1002/btm2.10580,LNP782,1,3,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,-0.0046488277994967036,0.0046488277994967036,0.2813529881034643
294,782,10.1002/btm2.10580,LNP782,1,3,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,0.005537796195965575,0.005537796195965575,0.0095335973251702
294,782,10.1002/btm2.10580,LNP782,1,3,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,0.009849802926235983,0.009849802926235983,0.1673944739306458
294,782,10.1002/btm2.10580,LNP782,1,3,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,0.010375076250482352,0.010375076250482352,5.603014406033716e-05
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,0.016102639893189927,0.016102639893189927,5.811491940594056
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,0.017644315061527187,0.017644315061527187,4.58868065346535
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,0.007323208329080003,0.007323208329080003,6779.617455445545
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,-0.001583601989303743,0.001583601989303743,2.1125544059405943
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,0.011669402617466686,0.011669402617466686,5.835522237623761
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,0.0006062699578299219,0.0006062699578299219,7.267792079207922
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,-0.00024795616314158474,0.00024795616314158474,0.3484136514851487
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,-0.00815107689830427,0.00815107689830427,360.0693069306931
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,-0.004909369067439286,0.004909369067439286,0.2813529881034643
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,0.006102909370086462,0.006102909370086462,0.0095335973251702
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,0.01075272510999032,0.01075272510999032,0.1673944739306458
357,875,https://doi.org/10.1101/2023.11.09.565872,LNP782,1,3,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,0.010843856263928378,0.010843856263928378,5.603014406033716e-05
295,783,10.1002/btm2.10580,LNP854,0,4,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,0.03005215448297113,0.03005215448297113,4.93617293069307
295,783,10.1002/btm2.10580,LNP854,0,4,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,0.031647415326141,0.031647415326141,4.826088455445545
295,783,10.1002/btm2.10580,LNP854,0,4,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,-0.003794327979279825,0.003794327979279825,3576.9863465346534
295,783,10.1002/btm2.10580,LNP854,0,4,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,0.0015056561583157465,0.0015056561583157465,2.122658108910891
295,783,10.1002/btm2.10580,LNP854,0,4,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,0.02560748497023222,0.02560748497023222,5.001151435643564
295,783,10.1002/btm2.10580,LNP854,0,4,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,0.0016194934164679253,0.0016194934164679253,7.525267326732673
295,783,10.1002/btm2.10580,LNP854,0,4,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,-0.00037844670579627174,0.00037844670579627174,0.3358069445544553
295,783,10.1002/btm2.10580,LNP854,0,4,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,-0.0022204650094896083,0.0022204650094896083,68.20792079207921
295,783,10.1002/btm2.10580,LNP854,0,4,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,-0.0017701866072533372,0.0017701866072533372,0.0560373470614616
295,783,10.1002/btm2.10580,LNP854,0,4,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,0.010149998523440997,0.010149998523440997,0.0030948529024837
295,783,10.1002/btm2.10580,LNP854,0,4,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,0.02704516867600672,0.02704516867600672,0.2013188084534357
295,783,10.1002/btm2.10580,LNP854,0,4,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,0.016923840415582144,0.016923840415582144,8.215774848512889e-05
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,0.030965864888469332,0.030965864888469332,4.93617293069307
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,0.03308668006663282,0.03308668006663282,4.826088455445545
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,-0.003450278452535207,0.003450278452535207,3576.9863465346534
366,911,https://doi.org/10.1101/2024.09.27.614859,LNP854,1,4,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,0.000481808211390877,0.000481808211390877,2.122658108910891
