processed_column,block,dtype,fill_fraction,model_input
feat_cargo_c_fraction,feat_,float64,0.9889135254988913,True
feat_cargo_molecular_weight_approx_da,feat_,float64,0.9889135254988913,True
feat_cargo_length_nt_calculated,feat_,float64,0.9889135254988913,True
feat_cargo_cargo_is_mrna,feat_,int64,1.0,True
feat_cargo_cargo_is_aso,feat_,int64,1.0,True
feat_cargo_cargo_is_barcode,feat_,int64,1.0,True
feat_cargo_cargo_is_pdna,feat_,int64,1.0,True
feat_fp_1,feat_,float64,0.835920177383592,True
feat_fp_2,feat_,float64,0.835920177383592,True
feat_fp_3,feat_,float64,0.835920177383592,True
feat_fp_5,feat_,float64,0.835920177383592,True
feat_fp_8,feat_,float64,0.835920177383592,True
feat_fp_11,feat_,float64,0.835920177383592,True
feat_fp_13,feat_,float64,0.835920177383592,True
feat_fp_14,feat_,float64,0.835920177383592,True
feat_fp_15,feat_,float64,0.835920177383592,True
feat_fp_21,feat_,float64,0.835920177383592,True
feat_fp_22,feat_,float64,0.835920177383592,True
feat_fp_26,feat_,float64,0.835920177383592,True
feat_fp_27,feat_,float64,0.835920177383592,True
feat_fp_28,feat_,float64,0.835920177383592,True
feat_fp_29,feat_,float64,0.835920177383592,True
feat_fp_31,feat_,float64,0.835920177383592,True
feat_fp_32,feat_,float64,0.835920177383592,True
feat_fp_33,feat_,float64,0.835920177383592,True
feat_fp_38,feat_,float64,0.835920177383592,True
feat_fp_39,feat_,float64,0.835920177383592,True
feat_fp_41,feat_,float64,0.835920177383592,True
feat_fp_48,feat_,float64,0.835920177383592,True
feat_fp_59,feat_,float64,0.835920177383592,True
feat_fp_66,feat_,float64,0.835920177383592,True
feat_fp_69,feat_,float64,0.835920177383592,True
feat_fp_72,feat_,float64,0.835920177383592,True
feat_fp_73,feat_,float64,0.835920177383592,True
feat_fp_74,feat_,float64,0.835920177383592,True
feat_fp_80,feat_,float64,0.835920177383592,True
feat_fp_81,feat_,float64,0.835920177383592,True
feat_fp_87,feat_,float64,0.835920177383592,True
feat_fp_90,feat_,float64,0.835920177383592,True
feat_fp_97,feat_,float64,0.835920177383592,True
feat_fp_99,feat_,float64,0.835920177383592,True
feat_fp_104,feat_,float64,0.835920177383592,True
feat_fp_110,feat_,float64,0.835920177383592,True
feat_fp_114,feat_,float64,0.835920177383592,True
feat_fp_115,feat_,float64,0.835920177383592,True
