model,macro_f1,mcc,inactive_pr_auc,roc_auc
MD logistic PCA,0.7187500000000002,0.45584230583855184,0.49404761904761907,0.5584415584415585
Training-prior baseline,0.37931034482758613,0.0,0.28869047619047616,0.03246753246753248
