family,number_features,permutation,is_identity,assignment,roc_auc,delta_roc_auc,pr_auc_active,delta_pr_auc_active,pr_auc_inactive,delta_pr_auc_inactive,balanced_accuracy,delta_balanced_accuracy,macro_f1,delta_macro_f1,mcc,delta_mcc
size_shape,7,222,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP193;LNP782<-LNP854;LNP854<-LNP782;LNP858<-LNP195,0.05844155844155838,-0.24350649350649348,0.47729433371144603,-0.07477391652490761,0.27517725938778564,-0.15555867134814505,0.29545454545454547,-0.18831168831168832,0.2653061224489796,-0.2138428137212332,-0.4605661864718382,-0.42620577983463565
size_shape,7,223,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP195;LNP782<-LNP193;LNP854<-LNP782;LNP858<-LNP854,0.19480519480519481,-0.10714285714285704,0.521556134565539,-0.030512115670814688,0.3107012035583464,-0.12003472717758429,0.34090909090909094,-0.14285714285714285,0.29411764705882354,-0.18503128911138927,-0.39192475766909773,-0.35756435103189516
size_shape,7,224,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP195;LNP782<-LNP193;LNP854<-LNP854;LNP858<-LNP782,0.24350649350649345,-0.058441558441558406,0.535020535020535,-0.017047715215818604,0.3394557823129251,-0.09128014842300558,0.41233766233766234,-0.07142857142857145,0.3930789707187223,-0.08606996545149054,-0.19738550848793068,-0.1630251018507281
size_shape,7,225,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP195;LNP782<-LNP782;LNP854<-LNP193;LNP858<-LNP854,0.19480519480519476,-0.1071428571428571,0.5198174931129476,-0.03225075712340608,0.31183499040641893,-0.11890094032951176,0.34090909090909094,-0.14285714285714285,0.29411764705882354,-0.18503128911138927,-0.39192475766909773,-0.35756435103189516
size_shape,7,226,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP195;LNP782<-LNP782;LNP854<-LNP854;LNP858<-LNP193,0.19480519480519481,-0.10714285714285704,0.521556134565539,-0.030512115670814688,0.3107012035583464,-0.12003472717758429,0.3441558441558442,-0.13961038961038957,0.3377926421404682,-0.1413562940297446,-0.32232918561015206,-0.2879687789729495
size_shape,7,227,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP195;LNP782<-LNP854;LNP854<-LNP193;LNP858<-LNP782,0.21428571428571425,-0.08766233766233761,0.5269931457431457,-0.025075104493207934,0.3186377114948543,-0.11209821924107638,0.41233766233766234,-0.07142857142857145,0.3930789707187223,-0.08606996545149054,-0.19738550848793068,-0.1630251018507281
size_shape,7,228,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP195;LNP782<-LNP854;LNP854<-LNP782;LNP858<-LNP193,0.19480519480519481,-0.10714285714285704,0.5213935895754078,-0.03067466066094582,0.3107012035583464,-0.12003472717758429,0.29545454545454547,-0.18831168831168832,0.2653061224489796,-0.2138428137212332,-0.4605661864718382,-0.42620577983463565
size_shape,7,229,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP782;LNP782<-LNP193;LNP854<-LNP195;LNP858<-LNP854,0.29870129870129863,-0.00324675324675322,0.5509904603049541,-0.0010777899313995087,0.4553957946815089,0.02465986394557823,0.4837662337662338,0.0,0.4791489361702128,0.0,-0.03436040663720258,0.0
size_shape,7,230,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP782;LNP782<-LNP193;LNP854<-LNP854;LNP858<-LNP195,0.07792207792207788,-0.22402597402597396,0.48331037649219466,-0.06875787374415898,0.28085491506544136,-0.14988101567048934,0.36363636363636365,-0.12012987012987014,0.30769230769230765,-0.17145662847790516,-0.3567530340063377,-0.3223926273691351
size_shape,7,231,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP782;LNP782<-LNP195;LNP854<-LNP193;LNP858<-LNP854,0.2922077922077922,-0.00974025974025966,0.546517119244392,-0.005551130991961695,0.3774376417233559,-0.05329828901257477,0.5876623376623377,0.10389610389610388,0.5847382431233363,0.10558930695312352,0.19738550848793068,0.23174591512513326
size_shape,7,232,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP782;LNP782<-LNP195;LNP854<-LNP854;LNP858<-LNP193,0.2922077922077922,-0.00974025974025966,0.546517119244392,-0.005551130991961695,0.3774376417233559,-0.05329828901257477,0.5876623376623377,0.10389610389610388,0.5847382431233363,0.10558930695312352,0.19738550848793068,0.23174591512513326
size_shape,7,233,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP782;LNP782<-LNP854;LNP854<-LNP193;LNP858<-LNP195,0.05844155844155838,-0.24350649350649348,0.47729433371144603,-0.07477391652490761,0.2775582117687381,-0.15317771896719262,0.36363636363636365,-0.12012987012987014,0.30769230769230765,-0.17145662847790516,-0.3567530340063377,-0.3223926273691351
size_shape,7,234,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP782;LNP782<-LNP854;LNP854<-LNP195;LNP858<-LNP193,0.2889610389610389,-0.012987012987012936,0.5480750511348235,-0.003993199101530176,0.44621212121212117,0.015476190476190477,0.4480519480519481,-0.0357142857142857,0.4375,-0.041648936170212814,-0.1130805588384352,-0.07872015220123262
size_shape,7,235,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP854;LNP782<-LNP193;LNP854<-LNP195;LNP858<-LNP782,0.3181818181818181,0.016233766233766267,0.556725076394194,0.004656826157840355,0.488095238095238,0.05735930735930733,0.5194805194805195,0.035714285714285754,0.5183946488294314,0.03924571265921861,0.040291148201269084,0.07465155483847166
size_shape,7,236,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP854;LNP782<-LNP193;LNP854<-LNP782;LNP858<-LNP195,0.07792207792207788,-0.22402597402597396,0.48331037649219466,-0.06875787374415898,0.278473962684489,-0.1522619680514417,0.29545454545454547,-0.18831168831168832,0.2653061224489796,-0.2138428137212332,-0.4605661864718382,-0.42620577983463565
size_shape,7,237,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP854;LNP782<-LNP195;LNP854<-LNP193;LNP858<-LNP782,0.2922077922077922,-0.00974025974025966,0.546517119244392,-0.005551130991961695,0.3774376417233559,-0.05329828901257477,0.5876623376623377,0.10389610389610388,0.5847382431233363,0.10558930695312352,0.19738550848793068,0.23174591512513326
size_shape,7,238,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP854;LNP782<-LNP195;LNP854<-LNP782;LNP858<-LNP193,0.2987012987012987,-0.0032467532467531646,0.5482055578829772,-0.00386269235337644,0.38696145124716547,-0.04377447948876523,0.5876623376623377,0.10389610389610388,0.5847382431233363,0.10558930695312352,0.19738550848793068,0.23174591512513326
size_shape,7,239,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP854;LNP782<-LNP782;LNP854<-LNP193;LNP858<-LNP195,0.0,-0.30194805194805185,0.46285583103764927,-0.08921241919870437,0.27088319088319085,-0.15985273985273984,0.29545454545454547,-0.18831168831168832,0.2653061224489796,-0.2138428137212332,-0.4605661864718382,-0.42620577983463565
size_shape,7,240,False,LNP193<-LNP194;LNP194<-LNP858;LNP195<-LNP854;LNP782<-LNP782;LNP854<-LNP195;LNP858<-LNP193,0.30844155844155835,0.006493506493506496,0.5537022371644582,0.0016339869281045694,0.4783549783549783,0.047619047619047616,0.5194805194805195,0.035714285714285754,0.5183946488294314,0.03924571265921861,0.040291148201269084,0.07465155483847166
size_shape,7,241,False,LNP193<-LNP195;LNP194<-LNP193;LNP195<-LNP194;LNP782<-LNP782;LNP854<-LNP854;LNP858<-LNP858,0.30844155844155835,0.006493506493506496,0.5419929335370511,-0.010075316699302506,0.4783549783549783,0.047619047619047616,0.5194805194805194,0.03571428571428564,0.5183946488294314,0.03924571265921861,0.040291148201268875,0.07465155483847145
size_shape,7,242,False,LNP193<-LNP195;LNP194<-LNP193;LNP195<-LNP194;LNP782<-LNP782;LNP854<-LNP858;LNP858<-LNP854,0.05844155844155838,-0.24350649350649348,0.47424107384000436,-0.07782717639634928,0.2775582117687381,-0.15317771896719262,0.22727272727272727,-0.25649350649350655,0.2173913043478261,-0.2617576318223867,-0.5640760748177664,-0.5297156681805639
size_shape,7,243,False,LNP193<-LNP195;LNP194<-LNP193;LNP195<-LNP194;LNP782<-LNP854;LNP854<-LNP782;LNP858<-LNP858,0.24999999999999997,-0.05194805194805188,0.5330627705627705,-0.019005479673583126,0.339069264069264,-0.09166666666666667,0.5194805194805194,0.03571428571428564,0.5183946488294314,0.03924571265921861,0.040291148201268875,0.07465155483847145
size_shape,7,244,False,LNP193<-LNP195;LNP194<-LNP193;LNP195<-LNP194;LNP782<-LNP854;LNP854<-LNP858;LNP858<-LNP782,0.0,-0.30194805194805185,0.45805785123966947,-0.09401039899668417,0.27088319088319085,-0.15985273985273984,0.4318181818181818,-0.051948051948051965,0.3454545454545454,-0.1336943907156674,-0.2405228464604172,-0.2061624398232146
