weighting,metric,observed_delta,null_mean_delta,null_median_delta,null_q025,null_q975,exact_one_sided_p
row_weighted,roc_auc,0.09523809523809523,-0.1780423280423281,-0.09523809523809529,-0.5476190476190477,0.11904761904761907,0.14305555555555555
row_weighted,pr_auc_active,0.0542328042328043,-0.05954577251452247,-0.03783068783068777,-0.19087995337995334,0.08201058201058209,0.14027777777777778
row_weighted,pr_auc_inactive,0.06241496598639451,-0.1378051820313726,-0.13679138321995477,-0.3226499690785406,0.08112244897959175,0.1388888888888889
row_weighted,balanced_accuracy,0.16666666666666663,-0.015823412698412684,-0.0357142857142857,-0.2276785714285713,0.23809523809523814,0.059722222222222225
row_weighted,macro_f1,0.15476190476190477,-0.07910450975466456,-0.07417582417582413,-0.30161502100840326,0.23351648351648358,0.20277777777777778
row_weighted,mcc,0.3433289595745552,-0.07176100587897523,-0.07142857142857142,-0.5352708026963626,0.4761904761904763,0.059722222222222225
source_balanced,roc_auc,0.03896103896103903,-0.0991747835497835,-0.058441558441558406,-0.30844155844155835,0.19480519480519493,0.1527777777777778
source_balanced,pr_auc_active,0.008177060008956571,-0.032285962397235086,-0.02506688150704378,-0.10374108720330827,0.13193825870331044,0.12777777777777777
source_balanced,pr_auc_inactive,0.060930735930735946,-0.096968903455151,-0.1392857142857143,-0.20747178747178746,0.07878787878787885,0.13055555555555556
source_balanced,balanced_accuracy,0.1363636363636363,-0.01764971139971142,-0.00324675324675322,-0.25649350649350655,0.1720779220779221,0.059722222222222225
source_balanced,macro_f1,0.12760379471360062,-0.0514769102494453,-0.0635645205857972,-0.2617576318223867,0.17469721767594104,0.059722222222222225
source_balanced,mcc,0.37304115629463613,-0.04664609823564398,-0.016604312506559797,-0.5297156681805635,0.44207815978730314,0.059722222222222225
