weighting,metric,baseline,baseline_plus_md,delta_md_minus_baseline
row_weighted,roc_auc,0.5476190476190477,0.6428571428571429,0.09523809523809523
row_weighted,pr_auc_active,0.5057239057239057,0.55995670995671,0.0542328042328043
row_weighted,pr_auc_inactive,0.71212715855573,0.7745421245421246,0.06241496598639451
row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
source_balanced,roc_auc,0.30844155844155835,0.3474025974025974,0.03896103896103903
source_balanced,pr_auc_active,0.5537022371644582,0.5618792971734148,0.008177060008956571
source_balanced,pr_auc_inactive,0.4783549783549783,0.5392857142857143,0.060930735930735946
source_balanced,balanced_accuracy,0.48376623376623373,0.6201298701298701,0.13636363636363635
source_balanced,macro_f1,0.4791489361702127,0.6067527308838133,0.12760379471360062
source_balanced,mcc,-0.03436040663720258,0.3386807496574335,0.3730411562946361
