model,weighting,roc_auc,pr_auc_active,pr_auc_inactive,balanced_accuracy,macro_f1,mcc,sensitivity,specificity,precision_active
baseline,row_weighted,0.5476190476190477,0.5057239057239057,0.71212715855573,0.5357142857142857,0.5357142857142857,0.07142857142857142,0.5,0.5714285714285714,0.5
baseline,source_balanced,0.30844155844155835,0.5537022371644582,0.4783549783549783,0.48376623376623373,0.4791489361702127,-0.03436040663720258,0.6818181818181819,0.2857142857142857,0.6
baseline_plus_md,row_weighted,0.6428571428571429,0.55995670995671,0.7745421245421246,0.7023809523809523,0.6904761904761905,0.4147575310031266,0.8333333333333334,0.5714285714285714,0.625
baseline_plus_md,source_balanced,0.3474025974025974,0.5618792971734148,0.5392857142857143,0.6201298701298701,0.6067527308838133,0.3386807496574335,0.9545454545454546,0.2857142857142857,0.6774193548387096
