weighting,feature_set,metric,baseline,model_value,delta_vs_baseline
row_weighted,add_size_shape,roc_auc,0.5476190476190477,0.5952380952380953,0.04761904761904767
row_weighted,add_size_shape,pr_auc_active,0.5057239057239057,0.545970695970696,0.04024679024679034
row_weighted,add_size_shape,pr_auc_inactive,0.71212715855573,0.6793040293040293,-0.03282312925170072
row_weighted,add_size_shape,balanced_accuracy,0.5357142857142857,0.7738095238095238,0.23809523809523814
row_weighted,add_size_shape,macro_f1,0.5357142857142857,0.7692307692307693,0.23351648351648358
row_weighted,add_size_shape,mcc,0.07142857142857142,0.5476190476190477,0.4761904761904763
row_weighted,add_rna_association,roc_auc,0.5476190476190477,0.40476190476190477,-0.1428571428571429
row_weighted,add_rna_association,pr_auc_active,0.5057239057239057,0.43724053724053724,-0.06848336848336845
row_weighted,add_rna_association,pr_auc_inactive,0.71212715855573,0.5673992673992674,-0.14472789115646267
row_weighted,add_rna_association,balanced_accuracy,0.5357142857142857,0.5476190476190476,0.011904761904761862
row_weighted,add_rna_association,macro_f1,0.5357142857142857,0.5357142857142857,0.0
row_weighted,add_rna_association,mcc,0.07142857142857142,0.09759000729485333,0.026161435866281904
row_weighted,add_water_penetration,roc_auc,0.5476190476190477,0.5476190476190477,0.0
row_weighted,add_water_penetration,pr_auc_active,0.5057239057239057,0.5195156695156695,0.013791763791763834
row_weighted,add_water_penetration,pr_auc_inactive,0.71212715855573,0.6432496075353218,-0.06887755102040827
row_weighted,add_water_penetration,balanced_accuracy,0.5357142857142857,0.6190476190476191,0.08333333333333337
row_weighted,add_water_penetration,macro_f1,0.5357142857142857,0.6153846153846154,0.07967032967032972
row_weighted,add_water_penetration,mcc,0.07142857142857142,0.23809523809523808,0.16666666666666666
row_weighted,all_except_size_shape,roc_auc,0.5476190476190477,0.42857142857142855,-0.11904761904761912
row_weighted,all_except_size_shape,pr_auc_active,0.5057239057239057,0.4685897435897436,-0.037134162134162096
row_weighted,all_except_size_shape,pr_auc_inactive,0.71212715855573,0.5478414442700157,-0.16428571428571437
row_weighted,all_except_size_shape,balanced_accuracy,0.5357142857142857,0.3333333333333333,-0.20238095238095238
row_weighted,all_except_size_shape,macro_f1,0.5357142857142857,0.23529411764705882,-0.3004201680672269
row_weighted,all_except_size_shape,mcc,0.07142857142857142,-0.4605661864718383,-0.5319947579004097
row_weighted,all_except_rna_association,roc_auc,0.5476190476190477,0.6428571428571429,0.09523809523809523
row_weighted,all_except_rna_association,pr_auc_active,0.5057239057239057,0.55995670995671,0.0542328042328043
row_weighted,all_except_rna_association,pr_auc_inactive,0.71212715855573,0.7745421245421246,0.06241496598639451
row_weighted,all_except_rna_association,balanced_accuracy,0.5357142857142857,0.7738095238095238,0.23809523809523814
row_weighted,all_except_rna_association,macro_f1,0.5357142857142857,0.7692307692307693,0.23351648351648358
row_weighted,all_except_rna_association,mcc,0.07142857142857142,0.5476190476190477,0.4761904761904763
row_weighted,all_except_water_penetration,roc_auc,0.5476190476190477,0.5952380952380953,0.04761904761904767
row_weighted,all_except_water_penetration,pr_auc_active,0.5057239057239057,0.545970695970696,0.04024679024679034
row_weighted,all_except_water_penetration,pr_auc_inactive,0.71212715855573,0.6793040293040293,-0.03282312925170072
row_weighted,all_except_water_penetration,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
row_weighted,all_except_water_penetration,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
row_weighted,all_except_water_penetration,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
row_weighted,all_md,roc_auc,0.5476190476190477,0.6428571428571429,0.09523809523809523
row_weighted,all_md,pr_auc_active,0.5057239057239057,0.55995670995671,0.0542328042328043
row_weighted,all_md,pr_auc_inactive,0.71212715855573,0.7745421245421246,0.06241496598639451
row_weighted,all_md,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
row_weighted,all_md,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
row_weighted,all_md,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
source_balanced,add_size_shape,roc_auc,0.30844155844155835,0.3409090909090909,0.032467532467532534
source_balanced,add_size_shape,pr_auc_active,0.5537022371644582,0.5602453102453102,0.006543073080852002
source_balanced,add_size_shape,pr_auc_inactive,0.4783549783549783,0.4916666666666666,0.013311688311688274
source_balanced,add_size_shape,balanced_accuracy,0.48376623376623373,0.6558441558441559,0.17207792207792216
source_balanced,add_size_shape,macro_f1,0.4791489361702127,0.6538461538461539,0.17469721767594115
source_balanced,add_size_shape,mcc,-0.03436040663720258,0.40771775315010056,0.44207815978730314
source_balanced,add_rna_association,roc_auc,0.30844155844155835,0.25324675324675316,-0.055194805194805185
source_balanced,add_rna_association,pr_auc_active,0.5537022371644582,0.535716704055262,-0.01798553310919626
source_balanced,add_rna_association,pr_auc_inactive,0.4783549783549783,0.3894557823129251,-0.08889919604205321
source_balanced,add_rna_association,balanced_accuracy,0.48376623376623373,0.5162337662337663,0.032467532467532534
source_balanced,add_rna_association,macro_f1,0.4791489361702127,0.4957983193277311,0.016649383157518405
source_balanced,add_rna_association,mcc,-0.03436040663720258,0.03999232221113232,0.0743527288483349
source_balanced,add_water_penetration,roc_auc,0.30844155844155835,0.3214285714285714,0.012987012987013047
source_balanced,add_water_penetration,pr_auc_active,0.5537022371644582,0.5583378427128427,0.004635605548384492
source_balanced,add_water_penetration,pr_auc_inactive,0.4783549783549783,0.4503968253968253,-0.027958152958153015
source_balanced,add_water_penetration,balanced_accuracy,0.48376623376623373,0.551948051948052,0.06818181818181823
source_balanced,add_water_penetration,macro_f1,0.4791489361702127,0.5418181818181819,0.06266924564796916
source_balanced,add_water_penetration,mcc,-0.03436040663720258,0.1218289807746346,0.1561893874118372
source_balanced,all_except_size_shape,roc_auc,0.30844155844155835,0.2727272727272727,-0.03571428571428564
source_balanced,all_except_size_shape,pr_auc_active,0.5537022371644582,0.5419627307558341,-0.01173950640862409
source_balanced,all_except_size_shape,pr_auc_inactive,0.4783549783549783,0.3601576994434137,-0.11819727891156462
source_balanced,all_except_size_shape,balanced_accuracy,0.48376623376623373,0.4090909090909091,-0.07467532467532462
source_balanced,all_except_size_shape,macro_f1,0.4791489361702127,0.33333333333333326,-0.14581560283687944
source_balanced,all_except_size_shape,mcc,-0.03436040663720258,-0.282038037408883,-0.24767763077168042
source_balanced,all_except_rna_association,roc_auc,0.30844155844155835,0.3474025974025974,0.03896103896103903
source_balanced,all_except_rna_association,pr_auc_active,0.5537022371644582,0.5550611153552328,0.0013588781907746261
source_balanced,all_except_rna_association,pr_auc_inactive,0.4783549783549783,0.5392857142857143,0.060930735930735946
source_balanced,all_except_rna_association,balanced_accuracy,0.48376623376623373,0.6558441558441559,0.17207792207792216
source_balanced,all_except_rna_association,macro_f1,0.4791489361702127,0.6538461538461539,0.17469721767594115
source_balanced,all_except_rna_association,mcc,-0.03436040663720258,0.40771775315010056,0.44207815978730314
source_balanced,all_except_water_penetration,roc_auc,0.30844155844155835,0.3409090909090909,0.032467532467532534
source_balanced,all_except_water_penetration,pr_auc_active,0.5537022371644582,0.5602453102453102,0.006543073080852002
source_balanced,all_except_water_penetration,pr_auc_inactive,0.4783549783549783,0.4916666666666666,0.013311688311688274
source_balanced,all_except_water_penetration,balanced_accuracy,0.48376623376623373,0.5844155844155844,0.10064935064935066
source_balanced,all_except_water_penetration,macro_f1,0.4791489361702127,0.5555555555555556,0.07640661938534288
source_balanced,all_except_water_penetration,mcc,-0.03436040663720258,0.26189246330824845,0.296252869945451
source_balanced,all_md,roc_auc,0.30844155844155835,0.3474025974025974,0.03896103896103903
source_balanced,all_md,pr_auc_active,0.5537022371644582,0.5618792971734148,0.008177060008956571
source_balanced,all_md,pr_auc_inactive,0.4783549783549783,0.5392857142857143,0.060930735930735946
source_balanced,all_md,balanced_accuracy,0.48376623376623373,0.6201298701298701,0.13636363636363635
source_balanced,all_md,macro_f1,0.4791489361702127,0.6067527308838133,0.12760379471360062
source_balanced,all_md,mcc,-0.03436040663720258,0.33868074965743356,0.37304115629463613
