family,number_features,mean_total_abs_shap,sd_total_abs_shap,mean_abs_shap_per_feature,mean_signed_shap,number_sources,display_name
size_shape,7,0.08307950084712731,0.03550967852353412,0.011868500121018187,0.022730137750345058,6,Size and shape
rna_association,4,0.018306690177424857,0.012041984259935284,0.004576672544356214,-0.0007943404560977878,6,RNA association
water_penetration,1,0.011133027920911488,0.006131699627814666,0.011133027920911488,0.004141577969601635,6,Water penetration
