model,rows,roc_auc,pr_auc_active,pr_auc_inactive,balanced_accuracy,macro_f1,f1_active,mcc,sensitivity,specificity,precision_active,tn,fp,fn,tp
baseline,13,0.8571428571428571,0.7345238095238095,0.9340659340659341,0.6785714285714286,0.675,0.6,0.38575837490522974,0.5,0.8571428571428571,0.75,6,1,3,3
baseline_plus_md,13,0.8333333333333334,0.7166666666666667,0.9136577708006279,0.5952380952380952,0.5751633986928104,0.4444444444444444,0.2253744679276044,0.3333333333333333,0.8571428571428571,0.6666666666666666,6,1,4,2
