seed,model,weighting,roc_auc,pr_auc_active,pr_auc_inactive,balanced_accuracy,macro_f1,mcc
2000,baseline,row_weighted,0.5,0.49173789173789173,0.6168890633176347,0.5357142857142857,0.5357142857142857,0.07142857142857142
2000,baseline,source_balanced,0.30194805194805185,0.5520682502363536,0.4307359307359307,0.48376623376623373,0.4791489361702127,-0.03436040663720258
2000,baseline_plus_md,row_weighted,0.6428571428571429,0.55995670995671,0.7745421245421246,0.6309523809523809,0.606060606060606,0.2828894749305018
2000,baseline_plus_md,source_balanced,0.3474025974025974,0.5607429335370512,0.5392857142857143,0.5844155844155844,0.5555555555555556,0.26189246330824845
2001,baseline,row_weighted,0.5238095238095238,0.4890572390572391,0.7022065236350951,0.5357142857142857,0.5357142857142857,0.07142857142857142
2001,baseline,source_balanced,0.2987012987012986,0.5502931462553673,0.4724025974025974,0.48376623376623373,0.4791489361702127,-0.03436040663720258
2001,baseline_plus_md,row_weighted,0.5952380952380953,0.545970695970696,0.6793040293040293,0.6309523809523809,0.606060606060606,0.2828894749305018
2001,baseline_plus_md,source_balanced,0.3409090909090909,0.5591089466089466,0.4916666666666666,0.5844155844155844,0.5555555555555556,0.26189246330824845
2002,baseline,row_weighted,0.5238095238095238,0.5036426536426536,0.6304945054945055,0.6190476190476191,0.6153846153846154,0.23809523809523808
2002,baseline,source_balanced,0.3116883116883116,0.5550910894660894,0.4404761904761904,0.551948051948052,0.5418181818181819,0.1218289807746346
2002,baseline_plus_md,row_weighted,0.5952380952380953,0.545970695970696,0.6793040293040293,0.6309523809523809,0.606060606060606,0.2828894749305018
2002,baseline_plus_md,source_balanced,0.3409090909090909,0.5618686868686869,0.4916666666666666,0.5844155844155844,0.5555555555555556,0.26189246330824845
2003,baseline,row_weighted,0.5476190476190477,0.5195156695156695,0.6432496075353218,0.6190476190476191,0.6153846153846154,0.23809523809523808
2003,baseline,source_balanced,0.3214285714285714,0.5583378427128427,0.4503968253968253,0.551948051948052,0.5418181818181819,0.1218289807746346
2003,baseline_plus_md,row_weighted,0.6428571428571429,0.55995670995671,0.7745421245421246,0.6309523809523809,0.606060606060606,0.2828894749305018
2003,baseline_plus_md,source_balanced,0.3474025974025974,0.5618792971734148,0.5392857142857143,0.5844155844155844,0.5555555555555556,0.26189246330824845
