feature,family,independent_sources,unique_values,missing,infinite,minimum,maximum,mean,standard_deviation,range,constant
md_LNP_only_Rg_nm_mean_last100ns,size_shape,6,6,0,0,4.93617293069307,11.358418466607128,7.670671173540131,2.676683271371971,6.422245535914058,False
md_LNP_core_Rg_nm_mean_last100ns,size_shape,6,6,0,0,4.58868065346535,11.341151130519153,7.3773424606657345,2.8034464095426848,6.752470477053802,False
md_LNP_only_SASA_nm2_mean_last100ns,size_shape,6,6,0,0,1016.6465940594056,6779.617455445545,3968.880985808928,1703.3142874056005,5762.970861386139,False
md_RNA_Rg_nm_mean_last100ns,size_shape,6,6,0,0,2.090463132162609,2.124910623762376,2.1163596442185204,0.012303767972512432,0.03444749159976679,False
md_LNP_RNA_Rg_nm_mean_last100ns,size_shape,6,6,0,0,5.001151435643564,11.385549170764335,7.6489788915003265,2.579331948169697,6.384397735120771,False
md_RNA_LNP_COM_distance_nm_mean_last100ns,rna_association,6,6,0,0,5.766475247524753,12.396088481333706,8.369041149588622,2.0845849927187823,6.629613233808953,False
md_RNA_LNP_mindist_nm_mean_last100ns,rna_association,6,6,0,0,0.3358069445544553,0.7275512732673268,0.414768507014315,0.14082314755503716,0.3917443287128715,False
md_RNA_LNP_contacts_0p6nm_mean_last100ns,rna_association,6,6,0,0,14.178217821782178,360.0693069306931,145.41611660704072,115.23354107234736,345.8910891089109,False
md_RNA_buried_fraction_contact_based_mean_last100ns,rna_association,6,6,0,0,0.0107495377564881,0.2813529881034643,0.11074320011722466,0.08883677898300096,0.2706034503469762,False
md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,size_shape,6,6,0,0,0.0030948529024837,0.3482841659220696,0.13568494804081824,0.13119404227667303,0.34518931301958594,False
md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,size_shape,6,6,0,0,0.087026729854831,0.2013188084534357,0.14385138517021653,0.04350632509808937,0.1142920785986047,False
md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,water_penetration,6,6,0,0,3.982436308e-05,0.1954791303720854,0.048130096393644906,0.07240695072086478,0.1954393060090054,False
